"WijkenEnBuurten","Gemeentenaam_1"
"BU04840210","Alphen aan den Rijn                     "
"BU04840211","Alphen aan den Rijn                     "
"WK048403  ","Alphen aan den Rijn                     "
"BU04840301","Alphen aan den Rijn                     "
"BU04840302","Alphen aan den Rijn                     "
"BU04840303","Alphen aan den Rijn                     "
"BU04840304","Alphen aan den Rijn                     "
"BU04840305","Alphen aan den Rijn                     "
"BU04840306","Alphen aan den Rijn                     "
"BU04840307","Alphen aan den Rijn                     "
"WK048404  ","Alphen aan den Rijn                     "
"BU04840401","Alphen aan den Rijn                     "
"BU04840402","Alphen aan den Rijn                     "
"BU04840403","Alphen aan den Rijn                     "
"BU04840404","Alphen aan den Rijn                     "
"BU04840405","Alphen aan den Rijn                     "
"WK048405  ","Alphen aan den Rijn                     "
"BU04840501","Alphen aan den Rijn                     "
"BU04840502","Alphen aan den Rijn                     "
"BU04840503","Alphen aan den Rijn                     "
"BU04840504","Alphen aan den Rijn                     "
"BU04840505","Alphen aan den Rijn                     "
"BU04840506","Alphen aan den Rijn                     "
"WK048406  ","Alphen aan den Rijn                     "
"BU04840601","Alphen aan den Rijn                     "
"BU04840602","Alphen aan den Rijn                     "
"BU04840603","Alphen aan den Rijn                     "
"BU04840604","Alphen aan den Rijn                     "
"BU04840605","Alphen aan den Rijn                     "
"WK048407  ","Alphen aan den Rijn                     "
"BU04840701","Alphen aan den Rijn                     "
"BU04840702","Alphen aan den Rijn                     "
"WK048408  ","Alphen aan den Rijn                     "
"BU04840801","Alphen aan den Rijn                     "
"BU04840802","Alphen aan den Rijn                     "
"BU04840803","Alphen aan den Rijn                     "
"BU04840804","Alphen aan den Rijn                     "
"BU04840805","Alphen aan den Rijn                     "
"BU04840806","Alphen aan den Rijn                     "
"BU04840807","Alphen aan den Rijn                     "
"BU04840808","Alphen aan den Rijn                     "
"BU04840809","Alphen aan den Rijn                     "
"BU04840810","Alphen aan den Rijn                     "
"BU04840811","Alphen aan den Rijn                     "
"BU04840812","Alphen aan den Rijn                     "
"BU04840813","Alphen aan den Rijn                     "
"WK048409  ","Alphen aan den Rijn                     "
"BU04840901","Alphen aan den Rijn                     "
"WK048431  ","Alphen aan den Rijn                     "
"BU04843101","Alphen aan den Rijn                     "
"BU04843102","Alphen aan den Rijn                     "
"BU04843103","Alphen aan den Rijn                     "
"BU04843104","Alphen aan den Rijn                     "
"WK048445  ","Alphen aan den Rijn                     "
"BU04844501","Alphen aan den Rijn                     "
"BU04844502","Alphen aan den Rijn                     "
"BU04844503","Alphen aan den Rijn                     "
"BU04844504","Alphen aan den Rijn                     "
"WK048470  ","Alphen aan den Rijn                     "
"BU04847001","Alphen aan den Rijn                     "
"BU04847002","Alphen aan den Rijn                     "
"BU04847003","Alphen aan den Rijn                     "
"BU04847004","Alphen aan den Rijn                     "
"BU04847005","Alphen aan den Rijn                     "
"BU04847006","Alphen aan den Rijn                     "
"BU04847007","Alphen aan den Rijn                     "
"BU04847008","Alphen aan den Rijn                     "
"BU04847009","Alphen aan den Rijn                     "
"BU04847010","Alphen aan den Rijn                     "
"BU04847011","Alphen aan den Rijn                     "
"BU04847012","Alphen aan den Rijn                     "
"BU04847013","Alphen aan den Rijn                     "
"BU04847014","Alphen aan den Rijn                     "
